open,high,low,close,atr14,rsi14,ema10,ema20,ema50,bull_bos,bear_bos,choch,swing_trend,bull_fvg,bear_fvg,inside_fvg,swing_ob_bull,swing_ob_bear,inside_ob,in_premium,in_discount,zone_pct,near_ote,eq_high,eq_low,dist_to_P_trad,dist_to_R1_trad,above_P_trad,above_R1_trad,below_S1_trad,pivot_range_width_trad,usd_strength
384.0,384.8,382.8,384.1,2.0,50.0,384.1,384.1,384.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0
384.3,385.8,381.8,382.8,3.0,0.0,383.8636363636364,383.9761904761905,384.04901960784315,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.366666666544452,0.733333333088904,0,0,1,0.6666666664444444,0.0
382.8,388.8,381.1,388.6,4.566666666666663,81.69014084507032,384.7247933884297,384.41655328798186,384.22748942714344,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.1240875909947246,0.7591240874250041,1,1,0,0.8759124085673191,0.0
387.1,389.8,382.6,383.8,5.224999999999994,48.73949579831928,384.55664913598787,384.35783392722163,384.2107251358829,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.45295055812702895,1.422647527638411,0,0,0,1.4736842102442704,0.0
383.6,389.3,383.0,387.6,5.439999999999998,61.14649681528659,385.10998565671736,384.6666116484386,384.34363787565223,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.40441176463154005,0.1102941176267884,1,0,0,1.3235294115214085,0.0
388.6,395.8,385.8,394.3,6.199999999999998,72.76785714285708,386.780897355496,385.5840772057302,384.73408344915606,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.2365591395854953,0.6505376343036628,1,1,0,1.0161290320941747,0.0
394.3,396.8,392.1,393.1,5.985714285714282,69.06779661016947,387.92982510904216,386.29987937661303,385.06215860801274,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.18933969766128655,0.8408910102016063,1,0,0,1.6706443911290103,0.0
392.8,396.3,392.3,394.1,5.737499999999997,70.3252032520325,389.05167508921625,387.0427480074118,385.4165837606397,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0.017429193896748338,0.31372549014139084,1,0,0,0.8191721131469837,0.0
394.0,396.6,392.3,395.6,5.577777777777777,72.03065134099614,390.24227961844963,387.85772438765827,385.8159334170852,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0.24501992027479863,0.10159362547979331,1,0,0,0.7171314739750164,0.0
394.0,402.8,393.1,401.1,5.9899999999999975,76.89873417721518,392.2164105969133,389.1188934935956,386.41530857719954,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0461880910885681,0.6232609904357506,1,1,0,0.7178631050554507,0.0
