time,open,high,low,close,tick_volume
2025-09-26 04:45:00,3743.17,3744.15,3737.79,3738.87,1239
2025-09-26 05:00:00,3739.04,3741.02,3738.11,3739.25,1094
2025-09-26 05:15:00,3739.21,3741.13,3737.82,3740.97,991
2025-09-26 05:30:00,3741.12,3742.86,3737.75,3738.68,1129
2025-09-26 05:45:00,3738.72,3741.19,3738.07,3738.39,1077
2025-09-26 06:00:00,3738.53,3738.53,3735.3,3735.41,1106
2025-09-26 06:15:00,3735.38,3742.64,3734.55,3742.55,1047
2025-09-26 06:30:00,3742.5,3745.43,3742.42,3745.14,1058
2025-09-26 06:45:00,3745.16,3746.07,3744.56,3745.52,831
2025-09-26 07:00:00,3745.5,3746.77,3744.81,3746.73,769
2025-09-26 07:15:00,3746.71,3747.65,3744.88,3744.96,766
2025-09-26 07:30:00,3744.95,3747.08,3744.77,3745.31,852
2025-09-26 07:45:00,3745.32,3747.72,3744.9,3747.69,759
2025-09-26 08:00:00,3747.62,3747.83,3745.02,3745.78,723
2025-09-26 08:15:00,3745.79,3747.05,3744.62,3746.76,781
2025-09-26 08:30:00,3746.77,3749.62,3745.17,3748.41,1048
2025-09-26 08:45:00,3748.36,3748.8,3741.93,3742.13,1077
2025-09-26 09:00:00,3742.04,3751.54,3741.54,3751.54,1317
2025-09-26 09:15:00,3751.51,3754.05,3750.37,3751.78,1245
2025-09-26 09:30:00,3751.74,3752.78,3744.64,3744.9,1286
2025-09-26 09:45:00,3744.74,3746.98,3742.37,3743.59,1304
2025-09-26 10:00:00,3743.0,3744.52,3739.22,3743.36,1321
2025-09-26 10:15:00,3742.77,3745.81,3742.12,3745.25,1199
2025-09-26 10:30:00,3745.27,3749.36,3744.59,3748.08,1199
2025-09-26 10:45:00,3748.15,3749.54,3746.86,3747.99,964
2025-09-26 11:00:00,3748.01,3752.04,3747.07,3748.92,1234
2025-09-26 11:15:00,3748.72,3752.54,3748.64,3751.05,1122
2025-09-26 11:30:00,3751.02,3755.1,3750.94,3753.4,1101
2025-09-26 11:45:00,3753.37,3754.08,3751.73,3752.95,1069
2025-09-26 12:00:00,3752.94,3754.39,3750.98,3750.98,1062
2025-09-26 12:15:00,3751.02,3751.37,3748.09,3748.86,1077
2025-09-26 12:30:00,3748.94,3749.77,3747.13,3748.93,978
2025-09-26 12:45:00,3748.96,3751.49,3748.02,3751.49,927
2025-09-26 13:00:00,3751.38,3754.78,3751.38,3752.59,1043
2025-09-26 13:15:00,3752.64,3753.39,3749.04,3749.62,1021
2025-09-26 13:30:00,3749.5,3749.85,3745.47,3746.05,963
2025-09-26 13:45:00,3746.02,3746.02,3743.0,3744.65,1096
2025-09-26 14:00:00,3744.67,3747.16,3744.5,3746.16,1107
2025-09-26 14:15:00,3746.14,3751.45,3745.79,3751.15,1144
2025-09-26 14:30:00,3751.15,3752.91,3750.11,3751.96,1098
2025-09-26 14:45:00,3751.95,3752.49,3748.45,3748.61,1094
2025-09-26 15:00:00,3748.64,3752.85,3748.32,3751.68,1093
2025-09-26 15:15:00,3751.67,3753.4,3749.56,3749.56,1169
2025-09-26 15:30:00,3749.48,3757.45,3746.53,3751.17,1515
2025-09-26 15:45:00,3751.35,3755.0,3750.93,3752.1,1376
2025-09-26 16:00:00,3752.45,3764.71,3751.38,3764.31,1568
2025-09-26 16:15:00,3764.67,3766.29,3754.48,3757.82,1555
2025-09-26 16:30:00,3757.27,3760.74,3752.42,3758.11,1598
2025-09-26 16:45:00,3757.88,3762.6,3757.53,3762.08,1504
2025-09-26 17:00:00,3761.78,3774.86,3761.78,3772.14,1593
2025-09-26 17:15:00,3772.15,3783.8,3771.61,3777.86,1571
2025-09-26 17:30:00,3777.71,3781.61,3774.68,3776.59,1514
2025-09-26 17:45:00,3776.7,3780.01,3773.03,3778.86,1498
2025-09-26 18:00:00,3778.66,3779.59,3773.09,3774.75,1456
2025-09-26 18:15:00,3774.76,3779.34,3774.12,3779.19,1317
2025-09-26 18:30:00,3779.23,3780.45,3775.13,3776.06,1284
2025-09-26 18:45:00,3776.02,3780.93,3775.64,3780.42,1202
2025-09-26 19:00:00,3780.47,3781.19,3775.36,3775.46,1323
2025-09-26 19:15:00,3775.16,3777.12,3771.55,3773.78,1413
2025-09-26 19:30:00,3773.86,3777.67,3773.71,3777.49,1239
2025-09-26 19:45:00,3777.48,3778.03,3773.27,3774.21,1089
2025-09-26 20:00:00,3774.23,3778.95,3774.1,3778.21,1044
2025-09-26 20:15:00,3778.2,3780.19,3778.05,3778.92,1149
2025-09-26 20:30:00,3778.83,3783.01,3777.73,3782.65,1149
2025-09-26 20:45:00,3782.66,3783.09,3780.78,3782.88,1148
2025-09-26 21:00:00,3783.1,3783.16,3774.77,3776.15,1266
2025-09-26 21:15:00,3776.16,3779.03,3776.11,3777.69,1113
2025-09-26 21:30:00,3777.74,3780.55,3777.11,3778.87,818
2025-09-26 21:45:00,3778.85,3780.41,3778.19,3778.5,918
2025-09-26 22:00:00,3778.55,3778.55,3772.7,3776.15,1162
2025-09-26 22:15:00,3776.32,3776.44,3772.27,3772.85,1147
2025-09-26 22:30:00,3772.83,3773.44,3767.75,3768.74,1297
2025-09-26 22:45:00,3768.72,3770.26,3764.56,3766.77,1266
2025-09-26 23:00:00,3766.74,3769.44,3764.84,3764.85,1012
2025-09-26 23:15:00,3764.83,3768.87,3764.69,3765.96,856
2025-09-26 23:30:00,3766.24,3766.81,3762.28,3762.61,809
2025-09-26 23:45:00,3762.6,3763.33,3760.13,3760.53,539
2025-09-29 01:00:00,3758.57,3768.47,3757.78,3767.87,1348
2025-09-29 01:15:00,3767.94,3770.94,3766.29,3767.58,1087
2025-09-29 01:30:00,3767.55,3770.61,3765.74,3768.33,811
2025-09-29 01:45:00,3768.3,3770.54,3767.42,3770.54,686
2025-09-29 02:00:00,3770.5,3770.71,3766.7,3767.38,833
2025-09-29 02:15:00,3767.55,3769.83,3767.47,3768.63,737
2025-09-29 02:30:00,3768.54,3770.49,3767.69,3770.04,660
2025-09-29 02:45:00,3770.05,3772.56,3766.41,3766.91,1112
2025-09-29 03:00:00,3766.88,3774.68,3763.97,3774.14,1264
2025-09-29 03:15:00,3773.92,3777.62,3772.66,3777.46,1083
2025-09-29 03:30:00,3777.43,3783.8,3777.08,3782.99,1251
2025-09-29 03:45:00,3782.98,3787.45,3782.2,3787.11,1266
2025-09-29 04:00:00,3787.07,3788.75,3774.72,3776.27,1600
2025-09-29 04:15:00,3776.51,3780.6,3767.91,3772.74,1547
2025-09-29 04:30:00,3772.73,3775.27,3769.23,3772.76,1502
2025-09-29 04:45:00,3772.43,3779.41,3772.05,3778.71,1409
2025-09-29 05:00:00,3778.52,3787.36,3777.64,3786.08,1331
2025-09-29 05:15:00,3785.55,3798.85,3785.55,3793.16,1389
2025-09-29 05:30:00,3792.89,3796.56,3790.6,3791.84,1361
2025-09-29 05:45:00,3791.95,3792.99,3787.99,3792.85,1281
2025-09-29 06:00:00,3792.91,3799.35,3792.73,3797.25,1350
2025-09-29 06:15:00,3797.11,3797.69,3792.19,3793.37,1198
2025-09-29 06:30:00,3793.6,3797.58,3793.6,3796.85,1079
2025-09-29 06:45:00,3796.8,3797.69,3793.71,3794.32,1049
2025-09-29 07:00:00,3794.31,3795.92,3792.45,3795.8,979
2025-09-29 07:15:00,3795.47,3799.58,3792.96,3799.58,1116
2025-09-29 07:30:00,3799.65,3806.62,3798.3,3805.04,1315
2025-09-29 07:45:00,3805.01,3808.77,3803.58,3805.03,1199
2025-09-29 08:00:00,3805.02,3812.11,3803.66,3806.4,1246
2025-09-29 08:15:00,3806.77,3807.24,3802.51,3805.26,1234
2025-09-29 08:30:00,3805.34,3809.1,3801.41,3803.74,1401
2025-09-29 08:45:00,3803.61,3814.38,3803.33,3813.62,1363
2025-09-29 09:00:00,3813.85,3817.14,3811.11,3816.76,1394
2025-09-29 09:15:00,3816.66,3818.49,3812.07,3812.7,1432
2025-09-29 09:30:00,3812.65,3819.81,3811.99,3818.89,1353
2025-09-29 09:45:00,3818.89,3819.04,3812.79,3817.42,1363
2025-09-29 10:00:00,3817.35,3819.09,3813.52,3817.26,1333
2025-09-29 10:15:00,3817.41,3818.7,3812.42,3814.3,1281
2025-09-29 10:30:00,3814.54,3815.66,3808.14,3810.56,1315
2025-09-29 10:45:00,3810.61,3811.15,3805.08,3806.43,1308
2025-09-29 11:00:00,3806.33,3816.26,3806.33,3815.93,1368
2025-09-29 11:15:00,3815.99,3816.45,3808.36,3811.32,1228
2025-09-29 11:30:00,3811.5,3816.48,3811.09,3816.19,1094
2025-09-29 11:45:00,3816.25,3819.49,3815.37,3818.79,1089
2025-09-29 12:00:00,3818.75,3819.67,3817.04,3817.71,1013
2025-09-29 12:15:00,3817.7,3818.72,3815.91,3816.25,920
2025-09-29 12:30:00,3816.26,3817.23,3808.54,3810.46,1267
2025-09-29 12:45:00,3810.5,3810.5,3806.99,3807.48,1271
2025-09-29 13:00:00,3807.54,3810.4,3806.59,3809.84,1168
2025-09-29 13:15:00,3809.83,3817.23,3809.37,3815.7,1174
2025-09-29 13:30:00,3815.68,3818.51,3814.68,3817.34,1180
2025-09-29 13:45:00,3817.47,3818.42,3814.87,3817.79,1106
2025-09-29 14:00:00,3817.88,3818.93,3816.45,3818.68,1123
2025-09-29 14:15:00,3818.62,3824.5,3818.29,3823.53,1308
2025-09-29 14:30:00,3823.61,3829.28,3822.66,3827.13,1252
2025-09-29 14:45:00,3827.16,3831.39,3824.38,3828.96,1259
2025-09-29 15:00:00,3828.87,3830.39,3822.68,3824.29,1397
2025-09-29 15:15:00,3824.57,3825.45,3816.94,3817.39,1415
